timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,151.3,151.3,146.45,148.0,148.0,1506673,0.0000,1.0
2022-11-25,147.25,151.7,145.55,150.4,150.4,1633035,0.0000,1.0
2022-11-24,142.05,147.9,140.85,147.05,147.05,1121558,0.0000,1.0
2022-11-23,142.0,143.05,141.5,141.95,141.95,347034,0.0000,1.0
2022-11-22,146.6,146.6,141.05,141.65,141.65,738280,0.0000,1.0
2022-11-21,142.7,146.15,141.45,145.25,145.25,720555,0.0000,1.0
2022-11-18,140.0,140.0,137.5,138.4,138.4,446686,0.0000,1.0
2022-11-17,140.5,141.0,138.35,139.1,139.1,444317,0.0000,1.0
2022-11-16,145.4,145.8,141.0,141.65,141.65,562265,0.0000,1.0
2022-11-15,146.05,146.5,144.25,145.4,145.4,196588,0.0000,1.0
2022-11-14,144.85,147.35,143.7,145.8,145.8,343147,0.0000,1.0
2022-11-11,142.1,145.75,141.4,144.65,144.65,820723,0.0000,1.0
2022-11-10,142.6,142.6,138.85,140.2,140.2,491415,0.0000,1.0
2022-11-09,145.9,145.9,141.95,142.6,142.6,196555,0.0000,1.0
2022-11-07,141.35,144.5,141.35,144.0,144.0,606968,0.0000,1.0
2022-11-04,143.0,143.25,140.5,141.85,141.85,275314,0.0000,1.0
2022-11-03,143.0,144.8,142.1,143.9,143.9,457653,0.0000,1.0
2022-11-02,140.55,144.25,140.55,143.25,143.25,731753,0.0000,1.0
2022-11-01,140.05,141.8,139.2,140.65,140.65,192485,0.0000,1.0
2022-10-31,138.4,140.3,137.75,139.85,139.85,200274,0.0000,1.0
2022-10-28,139.4,139.85,137.9,138.3,138.3,433033,0.0000,1.0
2022-10-27,140.0,140.05,137.5,139.3,139.3,251236,0.0000,1.0
2022-10-25,136.7,139.85,133.95,139.15,139.15,1550706,0.0000,1.0
2022-10-24,135.55,136.95,135.55,136.4,136.4,312968,0.0000,1.0
2022-10-21,137.5,140.45,134.0,134.6,134.6,1693206,0.0000,1.0
2022-10-20,140.25,141.75,138.6,140.75,140.75,373928,0.0000,1.0
2022-10-19,139.7,143.35,139.7,141.0,141.0,465218,0.0000,1.0
2022-10-18,139.55,140.2,138.0,139.7,139.7,165111,0.0000,1.0
2022-10-17,139.1,140.55,136.85,139.0,139.0,603049,0.0000,1.0
2022-10-14,142.8,143.0,139.65,139.95,139.95,353598,0.0000,1.0
2022-10-13,142.0,142.95,139.55,140.3,140.3,143691,0.0000,1.0
2022-10-12,141.0,142.45,139.25,141.95,141.95,413371,0.0000,1.0
2022-10-11,143.9,144.4,140.05,141.0,141.0,988387,0.0000,1.0
2022-10-10,145.0,145.05,142.0,143.05,143.05,139220,0.0000,1.0
2022-10-07,145.35,146.95,145.05,146.0,146.0,448140,0.0000,1.0
2022-10-06,144.15,146.7,143.95,145.85,145.85,615321,0.0000,1.0
2022-10-04,142.7,143.8,141.5,143.5,143.5,171577,0.0000,1.0
2022-10-03,142.25,143.9,139.3,139.85,139.85,668322,0.0000,1.0
2022-09-30,139.45,142.95,138.75,142.2,142.2,261406,0.0000,1.0
2022-09-29,142.45,142.85,139.25,139.7,139.7,739579,0.0000,1.0
2022-09-28,141.0,142.8,139.55,140.65,140.65,747489,0.0000,1.0
2022-09-27,142.9,145.5,140.65,141.7,141.7,897330,0.0000,1.0
2022-09-26,146.0,146.45,141.0,142.85,142.85,1409498,0.0000,1.0
2022-09-23,152.0,153.0,145.75,147.15,147.15,1116157,0.0000,1.0
2022-09-22,151.1,153.25,150.0,151.95,151.95,791415,0.0000,1.0
2022-09-21,152.8,154.5,150.05,151.15,151.15,831281,0.0000,1.0
2022-09-20,153.3,155.4,153.0,153.25,153.25,222156,0.0000,1.0
2022-09-19,157.0,158.2,152.0,152.9,152.9,1812168,0.0000,1.0
2022-09-16,162.6,163.9,155.65,156.95,156.95,1128573,0.0000,1.0
2022-09-15,163.25,164.4,161.8,162.65,162.65,571159,0.0000,1.0
2022-09-14,159.8,164.3,159.8,163.2,163.2,1050974,0.0000,1.0
2022-09-13,164.5,165.45,162.5,163.15,163.15,386908,0.0000,1.0
2022-09-12,159.8,163.7,159.8,163.05,163.05,1232774,0.0000,1.0
2022-09-09,161.5,161.8,159.1,159.45,159.45,588863,0.0000,1.0
2022-09-08,160.0,162.9,159.7,160.0,160.0,935939,0.0000,1.0
2022-09-07,159.0,160.0,157.65,158.7,158.7,662036,0.0000,1.0
2022-09-06,161.45,163.0,159.1,159.4,159.4,344512,0.0000,1.0
2022-09-05,158.0,161.3,158.0,160.6,160.6,277446,0.0000,1.0
2022-09-02,160.4,161.4,157.6,157.95,157.95,205040,0.0000,1.0
2022-09-01,160.65,161.45,159.0,160.1,160.1,240372,0.0000,1.0
