timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-25,0.73,0.73,0.72,0.72,0.72,10000,0.0000,1.0
2022-11-24,0.75,0.75,0.73,0.73,0.73,7505,0.0000,1.0
2022-11-23,0.73,0.73,0.73,0.73,0.73,5203,0.0000,1.0
2022-11-22,0.75,0.75,0.73,0.75,0.75,56000,0.0000,1.0
2022-11-21,0.75,0.75,0.75,0.75,0.75,9001,0.0000,1.0
2022-11-18,0.75,0.75,0.75,0.75,0.75,1452,0.0000,1.0
2022-11-17,0.75,0.75,0.75,0.75,0.75,10000,0.0000,1.0
2022-11-16,0.73,0.79,0.72,0.75,0.75,18664,0.0000,1.0
2022-11-15,0.72,0.73,0.72,0.73,0.73,6001,0.0000,1.0
2022-11-14,0.72,0.72,0.72,0.72,0.72,21574,0.0000,1.0
2022-11-11,0.71,0.73,0.71,0.71,0.71,310010,0.0000,1.0
2022-11-10,0.73,0.73,0.73,0.73,0.73,9500,0.0000,1.0
2022-11-09,0.73,0.73,0.72,0.72,0.72,4003,0.0000,1.0
2022-11-08,0.71,0.72,0.71,0.72,0.72,155300,0.0000,1.0
2022-11-07,0.71,0.72,0.69,0.71,0.71,53017,0.0000,1.0
2022-11-04,0.71,0.71,0.7,0.71,0.71,17050,0.0000,1.0
2022-11-03,0.71,0.71,0.7,0.71,0.71,33630,0.0000,1.0
2022-11-02,0.7,0.7,0.7,0.7,0.7,2002,0.0000,1.0
2022-11-01,0.7,0.71,0.7,0.7,0.7,29001,0.0100,1.0
2022-10-31,0.72,0.72,0.72,0.72,0.71,6534,0.0000,1.0
2022-10-28,0.7,0.72,0.7,0.72,0.71,56564,0.0000,1.0
2022-10-27,0.7,0.7,0.69,0.69,0.6804,15264,0.0000,1.0
2022-10-26,0.7,0.71,0.69,0.71,0.7001,28500,0.0000,1.0
2022-10-25,0.7,0.71,0.7,0.71,0.7001,16300,0.0000,1.0
2022-10-24,0.71,0.71,0.7,0.7,0.6903,13525,0.0000,1.0
2022-10-21,0.72,0.72,0.7,0.7,0.6903,9000,0.0000,1.0
2022-10-20,0.72,0.72,0.71,0.72,0.71,17700,0.0000,1.0
2022-10-19,0.73,0.73,0.73,0.73,0.7199,0,0.0000,1.0
2022-10-18,0.72,0.73,0.72,0.73,0.7199,5938,0.0000,1.0
2022-10-17,0.71,0.71,0.71,0.71,0.7001,4528,0.0000,1.0
2022-10-14,0.73,0.73,0.67,0.7,0.6903,42501,0.0000,1.0
2022-10-13,0.72,0.72,0.72,0.72,0.71,0,0.0000,1.0
2022-10-12,0.72,0.72,0.72,0.72,0.71,0,0.0000,1.0
2022-10-11,0.72,0.72,0.72,0.72,0.71,5092,0.0000,1.0
2022-10-07,0.74,0.74,0.69,0.71,0.7001,37600,0.0000,1.0
2022-10-06,0.74,0.74,0.74,0.74,0.7297,10581,0.0000,1.0
2022-10-05,0.74,0.74,0.74,0.74,0.7297,3004,0.0000,1.0
2022-10-04,0.72,0.72,0.71,0.71,0.7001,5150,0.0000,1.0
2022-10-03,0.71,0.71,0.71,0.71,0.7001,0,0.0000,1.0
2022-09-30,0.71,0.71,0.67,0.71,0.7001,22500,0.0000,1.0
2022-09-29,0.71,0.71,0.7,0.7,0.6903,15000,0.0000,1.0
2022-09-28,0.71,0.71,0.71,0.71,0.7001,5000,0.0000,1.0
2022-09-27,0.71,0.71,0.71,0.71,0.7001,1050,0.0000,1.0
2022-09-26,0.7,0.72,0.69,0.72,0.71,12751,0.0000,1.0
2022-09-23,0.72,0.73,0.7,0.7,0.6903,58902,0.0000,1.0
2022-09-22,0.72,0.72,0.72,0.72,0.71,0,0.0000,1.0
2022-09-21,0.72,0.72,0.72,0.72,0.71,500,0.0000,1.0
2022-09-20,0.73,0.73,0.73,0.73,0.7199,3000,0.0000,1.0
2022-09-19,0.69,0.69,0.69,0.69,0.6804,0,0.0000,1.0
2022-09-16,0.72,0.72,0.69,0.69,0.6804,10857,0.0000,1.0
2022-09-15,0.72,0.72,0.72,0.72,0.71,4000,0.0000,1.0
2022-09-14,0.73,0.73,0.73,0.73,0.7199,1000,0.0000,1.0
2022-09-13,0.73,0.73,0.72,0.72,0.71,3140,0.0000,1.0
2022-09-12,0.72,0.72,0.72,0.72,0.71,2000,0.0000,1.0
2022-09-09,0.71,0.71,0.71,0.71,0.7001,0,0.0000,1.0
2022-09-08,0.71,0.71,0.71,0.71,0.7001,0,0.0000,1.0
2022-09-07,0.72,0.72,0.71,0.71,0.7001,2000,0.0000,1.0
2022-09-06,0.71,0.71,0.71,0.71,0.7001,0,0.0000,1.0
2022-09-02,0.71,0.71,0.71,0.71,0.7001,4065,0.0000,1.0
2022-09-01,0.72,0.72,0.68,0.7,0.6903,9505,0.0000,1.0
2022-08-31,0.74,0.74,0.65,0.65,0.641,97601,0.0000,1.0
2022-08-30,0.74,0.75,0.74,0.75,0.7396,18400,0.0000,1.0
2022-08-29,0.74,0.74,0.74,0.74,0.7297,2574,0.0000,1.0
2022-08-26,0.75,0.75,0.75,0.75,0.7396,6017,0.0000,1.0
2022-08-25,0.73,0.73,0.73,0.73,0.7199,0,0.0000,1.0
2022-08-24,0.73,0.73,0.73,0.73,0.7199,692,0.0000,1.0
2022-08-23,0.75,0.76,0.71,0.71,0.7001,28000,0.0000,1.0
2022-08-22,0.74,0.75,0.74,0.75,0.7396,7086,0.0000,1.0
2022-08-19,0.73,0.73,0.73,0.73,0.7199,1000,0.0000,1.0
2022-08-18,0.74,0.74,0.7,0.72,0.71,22500,0.0000,1.0
2022-08-17,0.74,0.74,0.74,0.74,0.7297,2001,0.0000,1.0
2022-08-16,0.76,0.76,0.72,0.74,0.7297,20364,0.0000,1.0
2022-08-15,0.76,0.77,0.76,0.77,0.7593,6501,0.0000,1.0
2022-08-12,0.75,0.75,0.75,0.75,0.7396,1000,0.0000,1.0
2022-08-11,0.75,0.75,0.74,0.74,0.7297,3000,0.0000,1.0
2022-08-10,0.76,0.76,0.75,0.75,0.7396,3100,0.0000,1.0
2022-08-09,0.76,0.76,0.75,0.76,0.7494,7501,0.0000,1.0
2022-08-08,0.77,0.77,0.77,0.77,0.7593,6200,0.0000,1.0
2022-08-05,0.77,0.77,0.76,0.77,0.7593,7000,0.0000,1.0
2022-08-04,0.77,0.77,0.77,0.77,0.7593,9711,0.0000,1.0
2022-08-03,0.75,0.75,0.75,0.75,0.7396,19022,0.0000,1.0
2022-08-02,0.73,0.73,0.73,0.73,0.7199,17219,0.0100,1.0
2022-07-29,0.75,0.75,0.71,0.71,0.6905,5700,0.0000,1.0
2022-07-28,0.72,0.72,0.72,0.72,0.7003,2600,0.0000,1.0
2022-07-27,0.73,0.73,0.73,0.73,0.71,0,0.0000,1.0
2022-07-26,0.73,0.73,0.73,0.73,0.71,1500,0.0000,1.0
2022-07-25,0.73,0.73,0.72,0.72,0.7003,3050,0.0000,1.0
2022-07-22,0.73,0.73,0.73,0.73,0.71,2000,0.0000,1.0
2022-07-21,0.75,0.75,0.72,0.72,0.7003,4000,0.0000,1.0
2022-07-20,0.76,0.77,0.76,0.77,0.7489,12300,0.0000,1.0
2022-07-19,0.76,0.76,0.76,0.76,0.7392,1500,0.0000,1.0
2022-07-18,0.73,0.76,0.72,0.76,0.7392,13251,0.0000,1.0
2022-07-15,0.73,0.73,0.73,0.73,0.71,0,0.0000,1.0
2022-07-14,0.75,0.75,0.73,0.73,0.71,16663,0.0000,1.0
2022-07-13,0.78,0.78,0.78,0.78,0.7586,1000,0.0000,1.0
2022-07-12,0.78,0.78,0.78,0.78,0.7586,1500,0.0000,1.0
2022-07-11,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-07-08,0.8,0.8,0.8,0.8,0.7781,1000,0.0000,1.0
2022-07-07,0.8,0.8,0.79,0.79,0.7684,1850,0.0000,1.0
2022-07-06,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-07-05,0.8,0.8,0.8,0.8,0.7781,11002,0.0000,1.0
2022-07-04,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-30,0.8,0.8,0.8,0.8,0.7781,6500,0.0000,1.0
2022-06-29,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-28,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-27,0.8,0.8,0.8,0.8,0.7781,1524,0.0000,1.0
2022-06-24,0.8,0.8,0.8,0.8,0.7781,17511,0.0000,1.0
2022-06-23,0.79,0.79,0.78,0.78,0.7586,2700,0.0000,1.0
2022-06-22,0.77,0.77,0.77,0.77,0.7489,500,0.0000,1.0
2022-06-21,0.78,0.79,0.77,0.79,0.7684,2140,0.0000,1.0
2022-06-20,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-17,0.8,0.8,0.8,0.8,0.7781,5000,0.0000,1.0
2022-06-16,0.84,0.85,0.84,0.85,0.8267,12000,0.0000,1.0
2022-06-15,0.85,0.85,0.85,0.85,0.8267,0,0.0000,1.0
2022-06-14,0.85,0.85,0.85,0.85,0.8267,0,0.0000,1.0
2022-06-13,0.85,0.85,0.85,0.85,0.8267,0,0.0000,1.0
2022-06-10,0.82,0.85,0.82,0.85,0.8267,3900,0.0000,1.0
2022-06-09,0.84,0.84,0.83,0.83,0.8073,8350,0.0000,1.0
2022-06-08,0.84,0.84,0.83,0.83,0.8073,2124,0.0000,1.0
2022-06-07,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-06,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-03,0.8,0.8,0.8,0.8,0.7781,0,0.0000,1.0
2022-06-02,0.81,0.81,0.8,0.8,0.7781,2655,0.0000,1.0
2022-06-01,0.91,0.91,0.91,0.91,0.8851,0,0.0000,1.0
2022-05-31,0.91,0.91,0.91,0.91,0.8851,1000,0.0000,1.0
2022-05-30,0.88,0.88,0.88,0.88,0.8559,0,0.0000,1.0
2022-05-27,0.88,0.88,0.88,0.88,0.8559,0,0.0000,1.0
2022-05-26,0.88,0.88,0.88,0.88,0.8559,0,0.0000,1.0
2022-05-25,0.88,0.88,0.88,0.88,0.8559,0,0.0000,1.0
2022-05-24,0.82,0.88,0.82,0.88,0.8559,7000,0.0000,1.0
2022-05-20,0.81,0.81,0.81,0.81,0.7878,0,0.0000,1.0
2022-05-19,0.77,0.81,0.77,0.81,0.7878,3500,0.0000,1.0
2022-05-18,0.81,0.82,0.81,0.82,0.7975,12568,0.0000,1.0
2022-05-17,0.8,0.8,0.8,0.8,0.7781,511,0.0000,1.0
2022-05-16,0.88,0.88,0.75,0.82,0.7975,22868,0.0000,1.0
2022-05-13,0.82,0.82,0.82,0.82,0.7975,1700,0.0000,1.0
2022-05-12,0.82,0.86,0.82,0.85,0.8267,2603,0.0000,1.0
2022-05-11,0.9,0.9,0.9,0.9,0.8753,10089,0.0000,1.0
2022-05-10,0.9,0.9,0.9,0.9,0.8753,3400,0.0000,1.0
2022-05-09,0.9,0.9,0.9,0.9,0.8753,1210,0.0000,1.0
2022-05-06,0.9,0.9,0.9,0.9,0.8753,1000,0.0000,1.0
2022-05-05,0.9,0.9,0.9,0.9,0.8753,1500,0.0000,1.0
2022-05-04,0.9,0.9,0.9,0.9,0.8753,885,0.0000,1.0
2022-05-03,0.81,0.81,0.81,0.81,0.7878,5601,0.0000,1.0
2022-05-02,0.83,0.83,0.83,0.83,0.8073,1000,0.0000,1.0
2022-04-29,0.85,0.85,0.85,0.85,0.8267,4700,0.0000,1.0
2022-04-28,0.86,0.86,0.85,0.85,0.8267,3105,0.0000,1.0
2022-04-27,0.85,0.85,0.83,0.84,0.817,16732,0.0000,1.0
2022-04-26,0.84,0.84,0.82,0.84,0.817,58255,0.0000,1.0
2022-04-25,0.86,0.89,0.86,0.88,0.8559,3531,0.0000,1.0
2022-04-22,0.9,0.9,0.9,0.9,0.8753,0,0.0000,1.0
2022-04-21,0.9,0.9,0.9,0.9,0.8753,555,0.0000,1.0
2022-04-20,0.93,0.93,0.9,0.9,0.8753,25111,0.0000,1.0
2022-04-19,0.96,0.96,0.92,0.92,0.8948,10941,0.0100,1.0
2022-04-18,0.95,0.95,0.95,0.95,0.9142,7236,0.0000,1.0
2022-04-14,0.95,0.95,0.95,0.95,0.9142,4997,0.0000,1.0
2022-04-13,0.95,0.97,0.95,0.97,0.9335,9494,0.0000,1.0
2022-04-12,0.95,0.95,0.95,0.95,0.9142,13460,0.0000,1.0
2022-04-11,0.99,0.99,0.95,0.95,0.9142,10852,0.0000,1.0
2022-04-08,0.95,1.0,0.95,0.99,0.9527,13700,0.0000,1.0
2022-04-07,0.94,1.0,0.93,0.93,0.895,69690,0.0000,1.0
2022-04-06,0.88,0.88,0.88,0.88,0.8469,0,0.0000,1.0
2022-04-05,0.88,0.88,0.88,0.88,0.8469,1135,0.0000,1.0
2022-04-04,0.91,0.91,0.86,0.86,0.8276,8884,0.0000,1.0
2022-04-01,0.9,0.9,0.9,0.9,0.8661,0,0.0000,1.0
2022-03-31,0.94,0.98,0.9,0.9,0.8661,13020,0.0000,1.0
2022-03-30,0.94,0.94,0.94,0.94,0.9046,1530,0.0000,1.0
2022-03-29,0.92,0.92,0.92,0.92,0.8854,0,0.0000,1.0
2022-03-28,0.92,0.92,0.92,0.92,0.8854,0,0.0000,1.0
2022-03-25,0.92,0.92,0.92,0.92,0.8854,502,0.0000,1.0
2022-03-24,0.92,0.95,0.92,0.95,0.9142,1526,0.0000,1.0
2022-03-23,0.95,0.95,0.95,0.95,0.9142,0,0.0000,1.0
2022-03-22,0.95,0.95,0.95,0.95,0.9142,0,0.0000,1.0
2022-03-21,0.95,0.95,0.95,0.95,0.9142,632,0.0000,1.0
2022-03-18,0.95,0.95,0.94,0.94,0.9046,1000,0.0000,1.0
2022-03-17,0.94,0.94,0.94,0.94,0.9046,501,0.0000,1.0
2022-03-16,0.95,0.95,0.95,0.95,0.9142,0,0.0000,1.0
2022-03-15,0.95,0.95,0.88,0.95,0.9142,5253,0.0000,1.0
2022-03-14,0.94,0.95,0.94,0.95,0.9142,5001,0.0000,1.0
2022-03-11,0.95,0.95,0.88,0.93,0.895,6101,0.0000,1.0
2022-03-10,0.98,0.98,0.98,0.98,0.9431,1600,0.0000,1.0
2022-03-09,0.97,0.98,0.97,0.98,0.9431,6018,0.0000,1.0
2022-03-08,0.95,0.97,0.95,0.97,0.9335,22000,0.0000,1.0
2022-03-07,0.95,0.95,0.95,0.95,0.9142,1000,0.0000,1.0
2022-03-04,0.92,0.99,0.92,0.99,0.9527,6000,0.0000,1.0
2022-03-03,0.9,0.9,0.9,0.9,0.8661,1470,0.0000,1.0
2022-03-02,0.85,0.87,0.85,0.87,0.8373,4000,0.0000,1.0
2022-03-01,0.85,0.85,0.85,0.85,0.818,500,0.0000,1.0
2022-02-28,0.92,0.92,0.84,0.84,0.8084,14004,0.0000,1.0
2022-02-25,0.9,0.9,0.9,0.9,0.8661,2501,0.0000,1.0
2022-02-24,0.9,0.9,0.86,0.86,0.8276,4435,0.0000,1.0
2022-02-23,0.92,0.92,0.92,0.92,0.8854,2500,0.0000,1.0
2022-02-22,0.9,0.9,0.9,0.9,0.8661,500,0.0000,1.0
2022-02-18,0.9,0.93,0.89,0.91,0.8758,25851,0.0000,1.0
2022-02-17,0.95,0.95,0.95,0.95,0.9142,5000,0.0000,1.0
2022-02-16,0.99,0.99,0.99,0.99,0.9527,0,0.0000,1.0
2022-02-15,0.99,0.99,0.99,0.99,0.9527,1500,0.0000,1.0
2022-02-14,0.99,0.99,0.95,0.95,0.9142,3200,0.0000,1.0
2022-02-11,0.98,0.98,0.98,0.98,0.9431,0,0.0000,1.0
2022-02-10,0.98,0.98,0.98,0.98,0.9431,0,0.0000,1.0
2022-02-09,0.97,0.98,0.97,0.98,0.9431,6100,0.0000,1.0
2022-02-08,0.97,0.97,0.97,0.97,0.9335,0,0.0000,1.0
2022-02-07,0.97,0.97,0.97,0.97,0.9335,1800,0.0000,1.0
2022-02-04,0.97,0.97,0.97,0.97,0.9335,0,0.0000,1.0
2022-02-03,0.97,0.97,0.96,0.97,0.9335,4500,0.0000,1.0
2022-02-02,0.94,0.95,0.93,0.93,0.895,10110,0.0000,1.0
2022-02-01,0.93,0.93,0.93,0.93,0.895,0,0.0100,1.0
2022-01-31,0.94,0.94,0.92,0.93,0.8854,16100,0.0000,1.0
2022-01-28,0.92,0.93,0.84,0.93,0.8854,21750,0.0000,1.0
2022-01-27,0.95,0.95,0.92,0.95,0.9044,3701,0.0000,1.0
2022-01-26,0.99,0.99,0.99,0.99,0.9425,0,0.0000,1.0
2022-01-25,0.99,0.99,0.99,0.99,0.9425,0,0.0000,1.0
2022-01-24,0.93,0.99,0.93,0.99,0.9425,3000,0.0000,1.0
2022-01-21,0.97,0.97,0.92,0.92,0.8759,9507,0.0000,1.0
2022-01-20,0.94,0.94,0.94,0.94,0.8949,0,0.0000,1.0
2022-01-19,0.96,1.0,0.94,0.94,0.8949,33000,0.0000,1.0
2022-01-18,1.0,1.02,0.95,0.95,0.9044,6426,0.0000,1.0
2022-01-17,1.0,1.01,1.0,1.01,0.9615,2360,0.0000,1.0
2022-01-14,1.02,1.02,1.0,1.0,0.952,3600,0.0000,1.0
2022-01-13,1.02,1.02,1.02,1.02,0.9711,5500,0.0000,1.0
2022-01-12,1.0,1.0,1.0,1.0,0.952,0,0.0000,1.0
2022-01-11,1.0,1.0,1.0,1.0,0.952,1501,0.0000,1.0
2022-01-10,1.0,1.0,1.0,1.0,0.952,14150,0.0000,1.0
2022-01-07,0.98,1.0,0.97,1.0,0.952,5053,0.0000,1.0
2022-01-06,1.0,1.0,0.99,1.0,0.952,7509,0.0000,1.0
2022-01-05,1.0,1.04,1.0,1.0,0.952,700,0.0000,1.0
2022-01-04,1.03,1.05,1.02,1.02,0.9711,2200,0.0000,1.0
2021-12-31,1.02,1.02,1.02,1.02,0.9711,1400,0.0000,1.0
2021-12-30,1.0,1.01,1.0,1.01,0.9615,2550,0.0000,1.0
2021-12-29,1.0,1.0,0.98,0.98,0.933,7500,0.0000,1.0
2021-12-24,1.05,1.05,1.05,1.05,0.9996,200,0.0000,1.0
2021-12-23,0.98,1.02,0.98,1.02,0.9711,14100,0.0000,1.0
2021-12-22,0.99,0.99,0.98,0.98,0.933,5000,0.0000,1.0
2021-12-21,0.96,0.96,0.94,0.95,0.9044,23700,0.0000,1.0
2021-12-20,1.0,1.0,0.98,0.98,0.933,3751,0.0000,1.0
2021-12-17,1.01,1.02,1.01,1.02,0.9711,1800,0.0000,1.0
2021-12-16,1.01,1.01,1.01,1.01,0.9615,0,0.0000,1.0
2021-12-15,1.02,1.02,1.01,1.01,0.9615,603,0.0000,1.0
2021-12-14,1.03,1.03,1.03,1.03,0.9806,1000,0.0000,1.0
2021-12-13,1.0,1.02,1.0,1.02,0.9711,1600,0.0000,1.0
2021-12-10,1.01,1.01,1.0,1.0,0.952,4500,0.0000,1.0
2021-12-09,1.05,1.05,1.0,1.04,0.9901,4205,0.0000,1.0
2021-12-08,1.07,1.07,1.07,1.07,1.0187,0,0.0000,1.0
2021-12-07,1.1,1.12,1.07,1.07,1.0187,9100,0.0000,1.0
2021-12-06,1.03,1.04,1.03,1.04,0.9901,6000,0.0000,1.0
2021-12-03,1.04,1.04,1.04,1.04,0.9901,1080,0.0000,1.0
2021-12-02,1.03,1.03,1.03,1.03,0.9806,400,0.0000,1.0
2021-12-01,1.03,1.03,1.03,1.03,0.9806,0,0.0000,1.0
2021-11-30,1.03,1.03,1.03,1.03,0.9806,300,0.0000,1.0
2021-11-29,1.03,1.03,1.03,1.03,0.9806,0,0.0000,1.0
2021-11-26,1.07,1.07,1.03,1.03,0.9806,13500,0.0000,1.0
2021-11-25,1.03,1.03,1.01,1.01,0.9615,4400,0.0000,1.0
