timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-25,0.57,0.59,0.57,0.5803,0.5803,54006,0.0000,1.0
2022-11-23,0.5817,0.594999,0.56,0.578479,0.578479,99213,0.0000,1.0
2022-11-22,0.59,0.6099,0.57,0.57,0.57,156553,0.0000,1.0
2022-11-21,0.62,0.6211,0.58,0.5912,0.5912,134116,0.0000,1.0
2022-11-18,0.6462,0.6482,0.6,0.6349,0.6349,68789,0.0000,1.0
2022-11-17,0.6555,0.6556,0.6112,0.6201,0.6201,95559,0.0000,1.0
2022-11-16,0.65,0.66,0.6,0.6453,0.6453,141062,0.0000,1.0
2022-11-15,0.72,0.72,0.61,0.655,0.655,608920,0.0000,1.0
2022-11-14,0.6774,0.74,0.652,0.701,0.701,602784,0.0000,1.0
2022-11-11,0.62,0.655,0.6199,0.652,0.652,118265,0.0000,1.0
2022-11-10,0.5999,0.62,0.58,0.6149,0.6149,104357,0.0000,1.0
2022-11-09,0.5831,0.63,0.58,0.593,0.593,87694,0.0000,1.0
2022-11-08,0.5998,0.6196,0.585,0.595,0.595,142170,0.0000,1.0
2022-11-07,0.61,0.61,0.581,0.5905,0.5905,90720,0.0000,1.0
2022-11-04,0.6,0.609999,0.5801,0.600101,0.600101,81316,0.0000,1.0
2022-11-03,0.5923,0.6147,0.5923,0.5951,0.5951,57468,0.0000,1.0
2022-11-02,0.5896,0.6309,0.5896,0.61,0.61,84110,0.0000,1.0
2022-11-01,0.6297,0.6364,0.58,0.62,0.62,105065,0.0000,1.0
2022-10-31,0.67,0.67,0.6146,0.625,0.625,91091,0.0000,1.0
2022-10-28,0.65,0.65,0.6032,0.6263,0.6263,286857,0.0000,1.0
2022-10-27,0.675,0.6834,0.6,0.6299,0.6299,188779,0.0000,1.0
2022-10-26,0.6971,0.6971,0.655,0.6726,0.6726,124991,0.0000,1.0
2022-10-25,0.6698,0.699,0.64,0.655001,0.655001,323886,0.0000,1.0
2022-10-24,0.7054,0.7127,0.6583,0.66,0.66,159213,0.0000,1.0
2022-10-21,0.6638,0.69,0.66,0.6719,0.6719,82140,0.0000,1.0
2022-10-20,0.7,0.7006,0.66,0.6717,0.6717,260950,0.0000,1.0
2022-10-19,0.7395,0.7483,0.6903,0.7,0.7,176972,0.0000,1.0
2022-10-18,0.715,0.76,0.715,0.7211,0.7211,94912,0.0000,1.0
2022-10-17,0.741,0.765,0.715,0.725,0.725,73643,0.0000,1.0
2022-10-14,0.75,0.78,0.73,0.7348,0.7348,88371,0.0000,1.0
2022-10-13,0.7397,0.7769,0.710001,0.744949,0.744949,128154,0.0000,1.0
2022-10-12,0.8,0.8,0.7,0.7399,0.7399,162216,0.0000,1.0
2022-10-11,0.7662,0.7825,0.76,0.774,0.774,69508,0.0000,1.0
2022-10-10,0.7767,0.82,0.76,0.7797,0.7797,121950,0.0000,1.0
2022-10-07,0.79,0.835,0.771,0.8007,0.8007,122148,0.0000,1.0
2022-10-06,0.8181,0.8397,0.795,0.81,0.81,162913,0.0000,1.0
2022-10-05,0.8,0.8406,0.7805,0.8294,0.8294,215254,0.0000,1.0
2022-10-04,0.836,0.8598,0.7968,0.835,0.835,348298,0.0000,1.0
2022-10-03,0.78,0.86,0.741201,0.8349,0.8349,1207706,0.0000,1.0
2022-09-30,0.8045,0.8352,0.77,0.775,0.775,452638,0.0000,1.0
2022-09-29,0.82,0.856,0.7569,0.7915,0.7915,280676,0.0000,1.0
2022-09-28,0.789,0.87,0.775,0.8351,0.8351,259451,0.0000,1.0
2022-09-27,0.83,0.83,0.7815,0.8001,0.8001,148609,0.0000,1.0
2022-09-26,0.83,0.8996,0.783,0.8135,0.8135,794153,0.0000,1.0
2022-09-23,0.76,0.7633,0.69,0.7633,0.7633,905066,0.0000,1.0
2022-09-22,0.77,0.77,0.726,0.7545,0.7545,246172,0.0000,1.0
2022-09-21,0.799,0.8299,0.74,0.7702,0.7702,392286,0.0000,1.0
