timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-28,24.35,25.6,24.35,25.0,25.0,563,0.0000,1.0
2022-11-25,25.55,25.6,23.2,25.6,25.6,489,0.0000,1.0
2022-11-24,24.4,24.4,24.4,24.4,24.4,125,0.0000,1.0
2022-11-23,24.4,24.4,23.3,23.5,23.5,4079,0.0000,1.0
2022-11-22,22.25,24.5,22.25,24.4,24.4,236,0.0000,1.0
2022-11-21,23.4,23.4,23.4,23.4,23.4,1,0.0000,1.0
2022-11-18,22.05,23.4,22.05,23.4,23.4,963,0.0000,1.0
2022-11-17,23.55,23.55,22.3,22.3,22.3,120,0.0000,1.0
2022-11-16,23.45,23.45,23.45,23.45,23.45,224,0.0000,1.0
2022-11-15,25.5,25.5,24.65,24.65,24.65,146,0.0000,1.0
2022-11-14,25.9,25.9,25.9,25.9,25.9,804,0.0000,1.0
2022-11-11,24.7,24.7,24.7,24.7,24.7,0,0.0000,1.0
2022-11-10,24.7,24.7,24.0,24.7,24.7,512,0.0000,1.0
2022-11-09,26.0,26.0,24.7,24.7,24.7,280,0.0000,1.0
2022-11-07,26.4,26.4,25.9,25.9,25.9,722,0.0000,1.0
2022-11-04,24.5,25.15,24.5,25.15,25.15,40,0.0000,1.0
2022-11-03,24.0,24.0,24.0,24.0,24.0,1125,0.0000,1.0
2022-11-02,25.15,25.15,25.15,25.15,25.15,209,0.0000,1.0
2022-11-01,25.15,25.15,25.15,25.15,25.15,10,0.0000,1.0
2022-10-31,25.15,25.15,25.15,25.15,25.15,990,0.0000,1.0
2022-10-28,24.0,24.75,24.0,24.0,24.0,574,0.0000,1.0
2022-10-27,23.6,23.6,23.6,23.6,23.6,225,0.0000,1.0
2022-10-25,22.0,22.5,22.0,22.5,22.5,740,0.0000,1.0
2022-10-24,21.5,21.5,21.5,21.5,21.5,0,0.0000,1.0
2022-10-21,21.25,23.1,21.25,21.5,21.5,510,0.0000,1.0
2022-10-20,22.0,22.0,22.0,22.0,22.0,1535,0.0000,1.0
2022-10-19,22.9,23.0,22.9,23.0,23.0,510,0.0000,1.0
2022-10-18,24.0,24.0,24.0,24.0,24.0,164,0.0000,1.0
2022-10-17,24.9,24.9,24.9,24.9,24.9,30,0.0000,1.0
2022-10-14,26.15,26.15,26.15,26.15,26.15,45,0.0000,1.0
2022-10-13,27.35,27.35,27.35,27.35,27.35,0,0.0000,1.0
2022-10-12,27.35,27.35,27.35,27.35,27.35,0,0.0000,1.0
2022-10-11,27.35,27.35,27.35,27.35,27.35,1,0.0000,1.0
2022-10-10,27.5,27.5,27.5,27.5,27.5,0,0.0000,1.0
2022-10-07,27.5,27.5,27.5,27.5,27.5,420,0.0000,1.0
2022-10-06,24.0,26.2,24.0,26.2,26.2,70,0.0000,1.0
2022-10-04,25.0,25.0,25.0,25.0,25.0,500,0.0000,1.0
2022-10-03,24.9,24.9,24.75,24.75,24.75,932,0.0000,1.0
2022-09-30,25.9,25.9,25.9,25.9,25.9,5,0.0000,1.0
2022-09-29,24.25,25.9,24.25,25.9,25.9,1090,0.0000,1.0
2022-09-28,23.8,24.95,23.8,24.95,24.95,1614,0.0000,1.0
2022-09-27,24.95,24.95,24.95,24.95,24.95,1000,0.0000,1.0
2022-09-26,26.0,26.0,26.0,26.0,26.0,1010,0.0000,1.0
2022-09-23,26.0,26.0,26.0,26.0,26.0,1025,0.0000,1.0
2022-09-22,24.5,26.5,24.5,26.5,26.5,501,0.0000,1.0
2022-09-21,25.7,25.7,25.7,25.7,25.7,613,0.0000,1.0
2022-09-20,25.7,25.7,25.7,25.7,25.7,192,0.0000,1.0
2022-09-19,25.7,25.7,25.7,25.7,25.7,2684,0.0000,1.0
2022-09-16,26.9,26.9,26.9,26.9,26.9,1178,0.0000,1.0
2022-09-15,24.5,25.7,24.5,25.7,25.7,87,0.0000,1.0
2022-09-14,26.7,26.7,24.5,24.5,24.5,73,0.0000,1.0
2022-09-13,25.5,25.5,25.5,25.5,25.5,552,0.0000,1.0
2022-09-12,26.0,26.0,25.0,25.5,25.5,593,0.0000,1.0
2022-09-09,26.5,26.5,26.0,26.0,26.0,318,0.0000,1.0
2022-09-08,26.0,26.0,24.95,25.35,25.35,815,0.0000,1.0
2022-09-07,23.35,25.3,23.35,25.3,25.3,2594,0.0000,1.0
2022-09-06,24.1,25.0,24.1,24.1,24.1,5959,0.0000,1.0
2022-09-05,26.3,26.3,25.1,25.1,25.1,1068,0.0000,1.0
2022-09-02,26.4,26.4,26.4,26.4,26.4,0,0.0000,1.0
2022-09-01,26.45,26.45,26.4,26.4,26.4,505,0.0000,1.0
2022-08-30,26.5,26.5,26.5,26.5,26.5,19,0.0000,1.0
2022-08-29,26.55,26.55,26.55,26.55,26.55,0,0.0000,1.0
2022-08-26,26.55,26.55,26.55,26.55,26.55,1,0.0000,1.0
2022-08-25,26.95,26.95,26.95,26.95,26.95,0,0.0000,1.0
2022-08-24,26.95,26.95,26.95,26.95,26.95,1,0.0000,1.0
2022-08-23,27.0,27.0,27.0,27.0,27.0,30,0.0000,1.0
2022-08-22,27.0,27.0,27.0,27.0,27.0,1,0.0000,1.0
2022-08-19,27.4,27.4,27.4,27.4,27.4,2,0.0000,1.0
2022-08-18,27.4,27.4,27.4,27.4,27.4,0,0.0000,1.0
2022-08-17,27.4,27.4,27.4,27.4,27.4,5,0.0000,1.0
2022-08-16,27.4,27.4,27.4,27.4,27.4,5,0.0000,1.0
2022-08-12,27.4,27.4,27.4,27.4,27.4,11,0.0000,1.0
2022-08-11,27.4,27.4,27.4,27.4,27.4,5,0.0000,1.0
2022-08-10,27.4,27.4,27.4,27.4,27.4,1,0.0000,1.0
2022-08-08,28.5,28.5,27.3,27.4,27.4,252,0.0000,1.0
2022-08-05,28.7,28.7,28.7,28.7,28.7,3,0.0000,1.0
2022-08-04,28.05,28.9,28.05,28.9,28.9,8,0.0000,1.0
2022-08-03,26.55,28.95,26.55,28.95,28.95,698,0.0000,1.0
2022-08-02,28.3,28.3,27.9,27.9,27.9,761,0.0000,1.0
2022-08-01,26.95,27.0,26.95,27.0,27.0,193,0.0000,1.0
2022-07-29,27.0,27.0,27.0,27.0,27.0,14,0.0000,1.0
2022-07-28,26.35,26.35,26.3,26.35,26.35,1736,0.0000,1.0
2022-07-27,25.1,25.1,25.1,25.1,25.1,1612,0.0000,1.0
2022-07-26,23.95,23.95,23.95,23.95,23.95,53,0.0000,1.0
2022-07-25,22.85,22.85,22.85,22.85,22.85,2,0.0000,1.0
2022-07-22,24.0,25.2,22.85,22.85,22.85,1769,0.0000,1.0
2022-07-21,24.0,24.0,22.9,24.0,24.0,1820,0.0000,1.0
2022-07-20,24.0,24.0,22.9,22.9,22.9,1004,0.0000,1.0
2022-07-19,24.0,24.0,24.0,24.0,24.0,5,0.0000,1.0
2022-07-18,23.8,23.8,23.8,23.8,23.8,1111,0.0000,1.0
2022-07-15,20.6,22.7,20.6,22.7,22.7,670,0.0000,1.0
2022-07-14,21.65,21.65,21.65,21.65,21.65,414,0.0000,1.0
2022-07-13,18.8,20.65,18.8,20.65,20.65,651,0.0000,1.0
2022-07-12,19.65,19.7,19.65,19.7,19.7,3774,0.0000,1.0
2022-07-11,18.8,18.8,18.8,18.8,18.8,520,0.0000,1.0
2022-07-08,17.2,17.95,17.2,17.95,17.95,604,0.0000,1.0
2022-07-07,17.0,17.1,17.0,17.1,17.1,522,0.0000,1.0
2022-07-06,17.3,17.3,17.1,17.1,17.1,2010,0.0000,1.0
2022-07-05,17.3,17.3,17.3,17.3,17.3,0,0.0000,1.0
2022-07-04,17.3,17.3,17.3,17.3,17.3,525,0.0000,1.0
2022-07-01,18.15,18.15,18.15,18.15,18.15,3363,0.0000,1.0
2022-06-30,16.65,18.15,16.65,18.15,18.15,111,0.0000,1.0
2022-06-29,17.3,17.35,17.3,17.35,17.35,400,0.0000,1.0
2022-06-28,16.6,16.6,16.6,16.6,16.6,60,0.0000,1.0
2022-06-27,16.6,16.6,16.6,16.6,16.6,0,0.0000,1.0
2022-06-24,16.6,16.6,16.6,16.6,16.6,7,0.0000,1.0
2022-06-23,16.1,16.1,16.1,16.1,16.1,0,0.0000,1.0
2022-06-22,16.1,16.1,16.1,16.1,16.1,33,0.0000,1.0
2022-06-21,16.9,16.9,16.9,16.9,16.9,0,0.0000,1.0
2022-06-20,16.9,16.9,16.9,16.9,16.9,125,0.0000,1.0
2022-06-17,16.9,16.9,16.9,16.9,16.9,0,0.0000,1.0
2022-06-16,16.9,16.9,16.9,16.9,16.9,3000,0.0000,1.0
2022-06-15,16.9,16.9,16.85,16.85,16.85,100,0.0000,1.0
2022-06-14,16.9,16.9,16.9,16.9,16.9,81,0.0000,1.0
2022-06-13,16.85,16.85,16.85,16.85,16.85,1000,0.0000,1.0
2022-06-10,16.85,16.85,16.85,16.85,16.85,0,0.0000,1.0
2022-06-09,16.9,16.9,16.8,16.85,16.85,1175,0.0000,1.0
2022-06-08,16.7,16.7,16.7,16.7,16.7,17,0.0000,1.0
2022-06-07,16.7,16.7,16.7,16.7,16.7,0,0.0000,1.0
2022-06-06,16.7,16.7,16.7,16.7,16.7,0,0.0000,1.0
2022-06-03,16.7,16.7,16.7,16.7,16.7,0,0.0000,1.0
2022-06-02,16.7,16.7,16.7,16.7,16.7,666,0.0000,1.0
2022-06-01,16.55,17.35,16.55,17.35,17.35,192,0.0000,1.0
2022-05-31,16.55,16.55,16.55,16.55,16.55,0,0.0000,1.0
2022-05-30,16.3,16.55,16.3,16.55,16.55,158,0.0000,1.0
2022-05-27,17.1,17.1,17.1,17.1,17.1,0,0.0000,1.0
2022-05-26,17.1,17.1,17.1,17.1,17.1,0,0.0000,1.0
2022-05-25,17.1,17.1,17.1,17.1,17.1,27,0.0000,1.0
2022-05-24,17.95,17.95,17.95,17.95,17.95,0,0.0000,1.0
2022-05-23,17.95,17.95,17.95,17.95,17.95,0,0.0000,1.0
2022-05-20,17.95,17.95,17.95,17.95,17.95,5,0.0000,1.0
2022-05-19,18.0,18.0,18.0,18.0,18.0,0,0.0000,1.0
2022-05-18,18.0,18.0,18.0,18.0,18.0,50,0.0000,1.0
2022-05-17,18.0,18.0,18.0,18.0,18.0,0,0.0000,1.0
2022-05-16,18.0,18.0,18.0,18.0,18.0,11,0.0000,1.0
2022-05-13,18.0,18.0,18.0,18.0,18.0,1,0.0000,1.0
2022-05-12,18.0,18.0,18.0,18.0,18.0,0,0.0000,1.0
2022-05-11,18.0,18.0,18.0,18.0,18.0,113,0.0000,1.0
2022-05-10,17.45,17.45,17.45,17.45,17.45,0,0.0000,1.0
2022-05-09,17.45,17.45,17.45,17.45,17.45,200,0.0000,1.0
2022-05-06,16.95,17.45,16.95,17.45,17.45,9,0.0000,1.0
2022-05-05,17.85,17.85,17.8,17.8,17.8,77,0.0000,1.0
2022-05-04,17.95,17.95,17.9,17.9,17.9,11,0.0000,1.0
2022-05-02,18.0,18.0,18.0,18.0,18.0,12,0.0000,1.0
2022-04-29,17.15,17.25,17.15,17.15,17.15,2791,0.0000,1.0
2022-04-28,19.8,19.8,18.05,18.05,18.05,1262,0.0000,1.0
2022-04-27,18.95,18.95,18.95,18.95,18.95,0,0.0000,1.0
2022-04-26,18.95,18.95,18.95,18.95,18.95,14,0.0000,1.0
2022-04-25,19.0,19.0,18.05,18.05,18.05,2105,0.0000,1.0
2022-04-22,19.0,19.9,18.95,18.95,18.95,1347,0.0000,1.0
2022-04-21,19.5,19.5,19.5,19.5,19.5,0,0.0000,1.0
2022-04-20,19.85,19.85,18.1,19.5,19.5,525,0.0000,1.0
2022-04-19,18.05,19.0,18.05,19.0,19.0,2605,0.0000,1.0
2022-04-18,19.0,19.0,19.0,19.0,19.0,21,0.0000,1.0
2022-04-13,18.1,19.0,18.1,19.0,19.0,11,0.0000,1.0
2022-04-12,19.0,19.0,19.0,19.0,19.0,301,0.0000,1.0
2022-04-11,21.4,21.4,20.0,20.0,20.0,848,0.0000,1.0
2022-04-08,20.5,20.5,20.5,20.5,20.5,5,0.0000,1.0
2022-04-07,18.2,19.95,18.2,19.95,19.95,282,0.0000,1.0
2022-04-06,19.2,19.2,19.15,19.15,19.15,250,0.0000,1.0
2022-04-05,19.0,19.2,19.0,19.2,19.2,575,0.0000,1.0
2022-04-04,19.95,20.0,19.95,20.0,20.0,12,0.0000,1.0
2022-04-01,20.9,20.9,19.95,19.95,19.95,27,0.0000,1.0
2022-03-31,20.95,20.95,20.95,20.95,20.95,11,0.0000,1.0
2022-03-30,21.2,21.2,20.95,20.95,20.95,1244,0.0000,1.0
2022-03-29,20.45,20.45,20.4,20.4,20.4,16,0.0000,1.0
2022-03-28,19.5,19.5,19.5,19.5,19.5,0,0.0000,1.0
2022-03-25,19.5,19.5,18.55,19.5,19.5,3772,0.0000,1.0
2022-03-24,19.5,19.5,19.5,19.5,19.5,10,0.0000,1.0
2022-03-23,18.7,18.7,18.7,18.7,18.7,587,0.0000,1.0
2022-03-22,18.7,18.7,18.7,18.7,18.7,163,0.0000,1.0
2022-03-21,19.65,19.65,19.65,19.65,19.65,412,0.0000,1.0
2022-03-17,19.95,20.65,19.95,20.65,20.65,14,0.0000,1.0
2022-03-16,19.7,20.95,19.7,20.95,20.95,102,0.0000,1.0
2022-03-15,19.95,20.7,19.95,20.7,20.7,126,0.0000,1.0
2022-03-14,18.4,19.95,18.4,19.95,19.95,671,0.0000,1.0
2022-03-11,17.6,19.35,17.6,19.3,19.3,3857,0.0000,1.0
2022-03-10,16.9,18.5,16.9,18.5,18.5,1050,0.0000,1.0
2022-03-09,18.6,18.6,17.75,17.75,17.75,110,0.0000,1.0
2022-03-08,18.6,18.6,18.6,18.6,18.6,0,0.0000,1.0
2022-03-07,18.6,18.6,18.6,18.6,18.6,1017,0.0000,1.0
2022-03-04,19.5,19.5,19.5,19.5,19.5,1136,0.0000,1.0
2022-03-03,20.5,20.5,20.5,20.5,20.5,34,0.0000,1.0
2022-03-02,20.5,20.5,20.5,20.5,20.5,100,0.0000,1.0
2022-02-28,19.55,19.55,19.55,19.55,19.55,15,0.0000,1.0
2022-02-25,19.55,19.55,17.8,19.55,19.55,164,0.0000,1.0
2022-02-24,18.15,18.7,18.15,18.7,18.7,109,0.0000,1.0
2022-02-23,18.0,19.1,17.35,19.1,19.1,9715,0.0000,1.0
2022-02-22,18.25,18.25,18.25,18.25,18.25,1100,0.0000,1.0
2022-02-21,19.05,19.05,18.15,18.25,18.25,497,0.0000,1.0
2022-02-18,19.1,19.1,19.1,19.1,19.1,5,0.0000,1.0
2022-02-17,19.5,20.45,19.5,20.0,20.0,74,0.0000,1.0
2022-02-16,20.4,20.4,19.5,19.5,19.5,315,0.0000,1.0
2022-02-15,20.5,20.5,19.5,19.5,19.5,40,0.0000,1.0
2022-02-14,19.6,20.5,19.6,20.5,20.5,771,0.0000,1.0
2022-02-11,20.5,20.5,20.5,20.5,20.5,290,0.0000,1.0
2022-02-10,22.15,22.15,21.2,21.2,21.2,626,0.0000,1.0
2022-02-09,19.1,21.1,19.1,21.1,21.1,4825,0.0000,1.0
2022-02-08,21.05,21.05,20.1,20.1,20.1,1880,0.0000,1.0
2022-02-07,20.95,21.05,20.9,21.05,21.05,14428,0.0000,1.0
2022-02-04,24.15,24.15,21.85,21.85,21.85,4812,0.0000,1.0
2022-02-03,21.95,23.0,21.95,23.0,23.0,1919,0.0000,1.0
2022-02-02,21.05,21.95,21.05,21.95,21.95,2307,0.0000,1.0
2022-02-01,24.2,24.2,21.9,21.95,21.95,1201,0.0000,1.0
2022-01-31,23.1,23.1,23.05,23.05,23.05,90,0.0000,1.0
2022-01-28,23.2,23.2,23.1,23.1,23.1,3364,0.0000,1.0
2022-01-27,24.3,24.3,24.25,24.3,24.3,2081,0.0000,1.0
2022-01-25,25.5,25.5,25.5,25.5,25.5,1157,0.0000,1.0
2022-01-24,24.75,24.75,24.7,24.7,24.7,1671,0.0000,1.0
2022-01-21,23.65,24.75,23.65,24.75,24.75,1856,0.0000,1.0
2022-01-20,22.5,23.6,22.5,23.6,23.6,3337,0.0000,1.0
2022-01-19,22.4,23.55,22.4,22.5,22.5,4417,0.0000,1.0
2022-01-18,23.55,23.55,23.55,23.55,23.55,1321,0.0000,1.0
2022-01-17,25.95,25.95,24.75,24.75,24.75,1688,0.0000,1.0
2022-01-14,26.05,26.05,26.05,26.05,26.05,1150,0.0000,1.0
2022-01-13,27.4,27.4,27.4,27.4,27.4,301,0.0000,1.0
2022-01-12,31.3,31.3,28.8,28.8,28.8,3058,0.0000,1.0
2022-01-11,30.3,30.3,30.3,30.3,30.3,5447,0.0000,1.0
2022-01-10,28.9,28.9,28.9,28.9,28.9,246,0.0000,1.0
2022-01-07,27.5,27.55,27.5,27.55,27.55,2692,0.0000,1.0
2022-01-06,26.2,26.25,26.2,26.25,26.25,1318,0.0000,1.0
2022-01-05,23.85,25.0,23.85,25.0,25.0,1611,0.0000,1.0
2022-01-04,23.85,23.85,23.85,23.85,23.85,3021,0.0000,1.0
2022-01-03,22.75,22.75,22.75,22.75,22.75,1462,0.0000,1.0
2021-12-31,20.68,21.71,20.68,21.71,21.71,2168,0.0000,1.0
2021-12-30,19.7,20.68,19.7,20.68,20.68,4049,0.0000,1.0
2021-12-29,19.71,19.71,17.7,19.7,19.7,7708,0.0000,1.0
2021-12-28,17.93,17.93,17.75,17.92,17.92,4516,0.0000,1.0
2021-12-27,14.85,16.3,14.85,16.3,16.3,2452,0.0000,1.0
2021-12-24,14.8,14.85,14.8,14.85,14.85,1961,0.0000,1.0
2021-12-23,13.5,13.5,13.5,13.5,13.5,6,0.0000,1.0
2021-12-22,15.73,15.73,13.0,13.5,13.5,3037,0.0000,1.0
2021-12-21,15.9,15.9,14.3,14.3,14.3,3738,0.0000,1.0
2021-12-20,15.2,15.2,14.0,14.5,14.5,1140,0.0000,1.0
2021-12-17,16.0,16.0,13.9,13.9,13.9,593,0.0000,1.0
2021-12-16,16.55,16.55,14.76,14.76,14.76,1059,0.0000,1.0
2021-12-15,16.4,16.4,16.4,16.4,16.4,448,0.0000,1.0
2021-12-14,14.2,15.3,14.2,15.3,15.3,18,0.0000,1.0
2021-12-13,14.95,14.95,14.2,14.2,14.2,3005,0.0000,1.0
2021-12-10,14.94,14.95,14.94,14.95,14.95,990,0.0000,1.0
2021-12-09,14.95,14.95,14.95,14.95,14.95,5,0.0000,1.0
2021-12-08,13.55,13.6,13.55,13.6,13.6,2,0.0000,1.0
2021-12-07,15.0,16.5,13.55,13.55,13.55,449,0.0000,1.0
2021-12-06,15.64,15.64,15.0,15.0,15.0,44,0.0000,1.0
2021-12-03,14.75,14.9,14.75,14.9,14.9,301,0.0000,1.0
2021-12-02,15.5,15.5,14.45,15.5,15.5,3882,0.0000,1.0
2021-12-01,15.13,15.13,15.13,15.13,15.13,100,0.0000,1.0
2021-11-30,14.81,15.5,14.81,14.85,14.85,2015,0.0000,1.0
2021-11-29,14.85,15.59,14.85,15.5,15.5,216,0.0000,1.0
2021-11-26,14.95,14.95,13.75,14.85,14.85,3932,0.0000,1.0
2021-11-25,13.5,14.45,13.25,14.45,14.45,1234,0.0000,1.0
2021-11-24,12.65,13.9,12.65,13.8,13.8,66,0.0000,1.0
2021-11-23,13.3,14.25,13.3,13.3,13.3,758,0.0000,1.0
2021-11-22,14.29,14.29,14.0,14.0,14.0,881,0.0000,1.0
2021-11-18,14.29,14.29,14.29,14.29,14.29,1,0.0000,1.0
2021-11-15,14.27,14.27,14.27,14.27,14.27,50,0.0000,1.0
2021-11-12,13.62,14.28,13.62,14.27,14.27,159,0.0000,1.0
2021-11-11,14.32,14.32,13.62,13.62,13.62,2297,0.0000,1.0
2021-11-10,14.37,14.37,13.66,14.33,14.33,1119,0.0000,1.0
2021-11-09,15.0,15.0,14.36,14.37,14.37,3775,0.0000,1.0
2021-11-08,14.3,15.11,14.0,15.11,15.11,139,0.0000,1.0
2021-11-03,14.4,14.4,14.4,14.4,14.4,8,0.0000,1.0
2021-11-01,13.68,14.4,13.68,14.4,14.4,250,0.0000,1.0
2021-10-29,14.56,14.56,14.4,14.4,14.4,244,0.0000,1.0
2021-10-28,14.5,14.5,13.87,13.87,13.87,122,0.0000,1.0
2021-10-27,13.96,14.6,13.9,14.6,14.6,529,0.0000,1.0
2021-10-26,12.66,13.96,12.66,13.96,13.96,1446,0.0000,1.0
2021-10-25,14.0,14.0,13.3,13.3,13.3,325,0.0000,1.0
2021-10-22,13.35,14.0,13.35,14.0,14.0,1682,0.0000,1.0
2021-10-21,13.4,13.4,13.35,13.35,13.35,1571,0.0000,1.0
2021-10-20,13.0,13.35,12.81,12.81,12.81,577,0.0000,1.0
2021-10-19,11.7,12.81,11.7,12.81,12.81,3161,0.0000,1.0
2021-10-18,12.6,13.17,12.0,12.2,12.2,571,0.0000,1.0
2021-10-14,12.6,12.6,11.9,12.55,12.55,574,0.0000,1.0
2021-10-13,13.02,13.02,12.0,12.0,12.0,1864,0.0000,1.0
2021-10-12,11.5,12.7,11.5,12.4,12.4,452,0.0000,1.0
2021-10-11,12.0,12.1,12.0,12.1,12.1,589,0.0000,1.0
2021-10-08,12.0,12.0,12.0,12.0,12.0,21,0.0000,1.0
2021-10-07,12.4,12.4,11.8,11.8,11.8,291,0.0000,1.0
2021-10-06,13.0,13.0,12.4,12.4,12.4,141,0.0000,1.0
2021-10-05,13.0,13.0,13.0,13.0,13.0,431,0.0000,1.0
2021-10-04,12.85,13.0,12.85,13.0,13.0,618,0.0000,1.0
2021-10-01,14.13,14.13,12.8,12.8,12.8,573,0.0000,1.0
2021-09-30,13.62,13.62,12.51,13.46,13.46,1193,0.0000,1.0
2021-09-29,13.47,13.47,12.99,12.99,12.99,325,0.0000,1.0
2021-09-28,12.19,12.83,12.19,12.83,12.83,310,0.0000,1.0
2021-09-27,12.83,12.83,12.83,12.83,12.83,54,0.0000,1.0
2021-09-24,13.5,13.5,12.83,12.83,12.83,1407,0.0000,1.0
2021-09-23,14.28,14.28,13.01,13.5,13.5,815,0.0000,1.0
2021-09-22,13.65,13.65,12.97,13.6,13.6,526,0.0000,1.0
2021-09-21,13.65,13.65,13.65,13.65,13.65,236,0.0000,1.0
2021-09-20,13.65,13.65,13.65,13.65,13.65,300,0.0000,1.0
2021-09-17,13.0,13.65,12.35,13.65,13.65,302,0.0000,1.0
2021-09-16,13.0,13.0,13.0,13.0,13.0,280,0.0000,1.0
