timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-25,6.83,6.83,6.83,6.83,6.83,0,0.0000,1.0
2022-11-23,6.79,6.79,6.79,6.79,6.79,0,0.0000,1.0
2022-11-22,6.78,6.78,6.78,6.78,6.78,0,0.0000,1.0
2022-11-21,6.67,6.67,6.67,6.67,6.67,0,0.0000,1.0
2022-11-18,6.7,6.7,6.7,6.7,6.7,0,0.0000,1.0
2022-11-17,6.64,6.64,6.64,6.64,6.64,0,0.0000,1.0
2022-11-16,6.68,6.68,6.68,6.68,6.68,0,0.0000,1.0
2022-11-15,6.82,6.82,6.82,6.82,6.82,0,0.0000,1.0
2022-11-14,6.72,6.72,6.72,6.72,6.72,0,0.0000,1.0
2022-11-11,6.8,6.8,6.8,6.8,6.8,0,0.0000,1.0
2022-11-10,6.75,6.75,6.75,6.75,6.75,0,0.0000,1.0
2022-11-09,6.33,6.33,6.33,6.33,6.33,0,0.0000,1.0
2022-11-08,6.49,6.49,6.49,6.49,6.49,0,0.0000,1.0
2022-11-07,6.51,6.51,6.51,6.51,6.51,0,0.0000,1.0
2022-11-04,6.45,6.45,6.45,6.45,6.45,0,0.0000,1.0
2022-11-03,6.35,6.35,6.35,6.35,6.35,0,0.0000,1.0
2022-11-02,6.39,6.39,6.39,6.39,6.39,0,0.0000,1.0
2022-11-01,6.57,6.57,6.57,6.57,6.57,0,0.0000,1.0
2022-10-31,6.55,6.55,6.55,6.55,6.55,0,0.0000,1.0
2022-10-28,6.56,6.56,6.56,6.56,6.56,0,0.0000,1.0
2022-10-27,6.42,6.42,6.42,6.42,6.42,0,0.0000,1.0
2022-10-26,6.4,6.4,6.4,6.4,6.4,0,0.0000,1.0
2022-10-25,6.36,6.36,6.36,6.36,6.36,0,0.0000,1.0
2022-10-24,6.2,6.2,6.2,6.2,6.2,0,0.0000,1.0
2022-10-21,6.15,6.15,6.15,6.15,6.15,0,0.0000,1.0
2022-10-20,6.01,6.01,6.01,6.01,6.01,0,0.0000,1.0
2022-10-19,6.11,6.11,6.11,6.11,6.11,0,0.0000,1.0
2022-10-18,6.22,6.22,6.22,6.22,6.22,0,0.0000,1.0
2022-10-17,6.15,6.15,6.15,6.15,6.15,0,0.0000,1.0
2022-10-14,5.98,5.98,5.98,5.98,5.98,0,0.0000,1.0
2022-10-13,6.12,6.12,6.12,6.12,6.12,0,0.0000,1.0
2022-10-12,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2022-10-11,5.96,5.96,5.96,5.96,5.96,0,0.0000,1.0
2022-10-10,5.95,5.95,5.95,5.95,5.95,0,0.0000,1.0
2022-10-07,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2022-10-06,6.1,6.1,6.1,6.1,6.1,0,0.0000,1.0
2022-10-05,6.14,6.14,6.14,6.14,6.14,0,0.0000,1.0
2022-10-04,6.21,6.21,6.21,6.21,6.21,0,0.0000,1.0
2022-10-03,5.95,5.95,5.95,5.95,5.95,0,0.0000,1.0
2022-09-30,5.81,5.81,5.81,5.81,5.81,0,0.0000,1.0
2022-09-29,5.84,5.84,5.84,5.84,5.84,0,0.0000,1.0
2022-09-28,5.99,5.99,5.99,5.99,5.99,0,0.0000,1.0
2022-09-27,5.82,5.82,5.82,5.82,5.82,0,0.0000,1.0
2022-09-26,5.81,5.81,5.81,5.81,5.81,0,0.0000,1.0
2022-09-23,5.92,5.92,5.92,5.92,5.92,0,0.0000,1.0
2022-09-22,6.07,6.07,6.07,6.07,6.07,0,0.0000,1.0
2022-09-21,6.21,6.21,6.21,6.21,6.21,0,0.0000,1.0
2022-09-20,6.32,6.32,6.32,6.32,6.32,0,0.0000,1.0
2022-09-19,6.41,6.41,6.41,6.41,6.41,0,0.0000,1.0
2022-09-16,6.32,6.32,6.32,6.32,6.32,0,0.0000,1.0
2022-09-15,6.38,6.38,6.38,6.38,6.38,0,0.0000,1.0
2022-09-14,6.41,6.41,6.41,6.41,6.41,0,0.0000,1.0
2022-09-13,6.39,6.39,6.39,6.39,6.39,0,0.0000,1.0
2022-09-12,6.64,6.64,6.64,6.64,6.64,0,0.0000,1.0
2022-09-09,6.55,6.55,6.55,6.55,6.55,0,0.0000,1.0
2022-09-08,6.41,6.41,6.41,6.41,6.41,0,0.0000,1.0
2022-09-07,6.37,6.37,6.37,6.37,6.37,0,0.0000,1.0
2022-09-06,6.27,6.27,6.27,6.27,6.27,0,0.0000,1.0
2022-09-02,6.34,6.34,6.34,6.34,6.34,0,0.0000,1.0
2022-09-01,6.38,6.38,6.38,6.38,6.38,0,0.0000,1.0
2022-08-31,6.45,6.45,6.45,6.45,6.45,0,0.0000,1.0
2022-08-30,6.54,6.54,6.54,6.54,6.54,0,0.0000,1.0
2022-08-29,6.63,6.63,6.63,6.63,6.63,0,0.0000,1.0
2022-08-26,6.7,6.7,6.7,6.7,6.7,0,0.0000,1.0
2022-08-25,6.92,6.92,6.92,6.92,6.92,0,0.0000,1.0
2022-08-24,6.79,6.79,6.79,6.79,6.79,0,0.0000,1.0
2022-08-23,6.76,6.76,6.76,6.76,6.76,0,0.0000,1.0
2022-08-22,6.76,6.76,6.76,6.76,6.76,0,0.0000,1.0
2022-08-19,6.92,6.92,6.92,6.92,6.92,0,0.0000,1.0
2022-08-18,7.07,7.07,7.07,7.07,7.07,0,0.0000,1.0
2022-08-17,7.0,7.0,7.0,7.0,7.0,0,0.0000,1.0
2022-08-16,7.12,7.12,7.12,7.12,7.12,0,0.0000,1.0
2022-08-15,7.06,7.06,7.06,7.06,7.06,0,0.0000,1.0
2022-08-12,7.06,7.06,7.06,7.06,7.06,0,0.0000,1.0
2022-08-11,6.92,6.92,6.92,6.92,6.92,0,0.0000,1.0
2022-08-10,6.86,6.86,6.86,6.86,6.86,0,0.0000,1.0
2022-08-09,6.69,6.69,6.69,6.69,6.69,0,0.0000,1.0
2022-08-08,6.76,6.76,6.76,6.76,6.76,0,0.0000,1.0
2022-08-05,6.73,6.73,6.73,6.73,6.73,0,0.0000,1.0
2022-08-04,6.69,6.69,6.69,6.69,6.69,0,0.0000,1.0
2022-08-03,6.74,6.74,6.74,6.74,6.74,0,0.0000,1.0
2022-08-02,6.66,6.66,6.66,6.66,6.66,0,0.0000,1.0
2022-08-01,6.73,6.73,6.73,6.73,6.73,0,0.0000,1.0
2022-07-29,6.73,6.73,6.73,6.73,6.73,0,0.0000,1.0
2022-07-28,6.68,6.68,6.68,6.68,6.68,0,0.0000,1.0
2022-07-27,6.58,6.58,6.58,6.58,6.58,0,0.0000,1.0
2022-07-26,6.43,6.43,6.43,6.43,6.43,0,0.0000,1.0
2022-07-25,6.49,6.49,6.49,6.49,6.49,0,0.0000,1.0
2022-07-22,6.43,6.43,6.43,6.43,6.43,0,0.0000,1.0
2022-07-21,6.5,6.5,6.5,6.5,6.5,0,0.0000,1.0
2022-07-20,6.51,6.51,6.51,6.51,6.51,0,0.0000,1.0
